IP Address	PING
217.23.3.76	58.420
185.107.57.61	62.250
185.165.241.34	60.717
190.2.132.198	58.858
190.2.133.223	57.089
46.166.182.69	55.483
107.181.180.162	61.515
89.38.99.188	57.079
190.2.138.15	57.122
185.107.57.51	63.173
149.34.244.149	61.064
149.34.244.151	61.481
149.34.244.156	60.773
149.34.244.154	62.925
149.34.244.161	60.511
149.34.244.159	61.272
149.34.244.166	61.508
149.34.244.164	61.152
185.107.95.225	57.362
149.34.244.169	63.744
149.34.244.171	60.642
149.34.244.176	60.796
149.34.244.174	61.754
149.34.244.179	80.378
149.34.244.181	61.511
185.107.56.49	56.713
185.107.56.69	56.597
185.107.56.75	58.279
185.107.56.235	61.619
138.199.7.159	61.863
89.39.107.188	58.345
89.39.107.109	57.057
89.39.107.113	57.555
89.39.107.185	59.085
109.201.133.20	55.729
89.38.97.115	
190.2.131.198	57.289
190.2.131.200	63.986
190.2.130.161	58.096
46.166.182.59	62.467
107.181.180.167	59.606
192.40.57.226	73.064
192.40.57.231	67.171
92.119.179.82	61.615
185.177.124.84	62.041
