IP Address	PING
156.146.51.129	192.087
89.187.185.161	184.572
195.181.163.1	160.466
45.89.173.194	194.578
217.138.206.82	129.688
37.19.200.1	172.803
89.187.179.55	131.451
156.146.54.81	204.710
89.187.180.1	145.989
89.187.177.71	130.551
195.181.162.163	162.407
185.230.126.2	188.770
38.132.103.146	128.713
89.187.170.159	150.398
37.19.200.22	169.070
37.19.200.17	165.655
37.19.199.144	133.901
138.199.50.98	170.950
37.19.199.129	135.414
37.19.199.134	134.250
37.19.199.139	134.574
us-free-22.protonvpn.net	
us-free-23.protonvpn.net	
us-free-24.protonvpn.net	
us-free-25.protonvpn.net	
us-free-26.protonvpn.net	
us-free-27.protonvpn.net	
143.244.44.181	136.744
